"Family Name / Surname","Given Name 1","Preferred Family Name/Surname","Child Status","NSN","Gender","DOB","EnrolmentStartDate","EnrolmentEndDate","Account Name"
"Adie","Grace",,"Left",153361724,"F-Female","2015-10-23T11:00:00.000Z","2016-02-01T11:00:00.000Z","2016-10-08T11:00:00.000Z",
"Anderson","Tyson",,"Enrolled",154842987,"M-Male","2016-10-24T11:00:00.000Z","2017-02-06T11:00:00.000Z",,
"Andrews","Louise",,"Enrolled",152146446,"F-Female","2015-07-22T12:00:00.000Z","2015-10-18T11:00:00.000Z",,
"Andrews","Ella",,"Enrolled",153786099,"F-Female","2016-05-27T12:00:00.000Z","2016-07-31T12:00:00.000Z",,
"Balsom","Charlie",,"Enrolled",153362613,"M-Male","2014-03-18T11:00:00.000Z","2016-05-10T12:00:00.000Z",,
"Balsom","Florence",,"Enrolled",153362917,"F-Female","2015-09-15T12:00:00.000Z","2016-05-10T12:00:00.000Z",,
"Bean","Oliver",,"Enrolled",151765477,"M-Male","2015-07-12T12:00:00.000Z","2015-10-18T11:00:00.000Z",,
"Bellingham","Logan",,"Left",152445910,"M-Male","2015-12-19T11:00:00.000Z","2016-05-01T12:00:00.000Z","2016-12-13T11:00:00.000Z",
"Ben-Nicholas","Liam",,"Left",153383999,"M-Male","2016-01-16T11:00:00.000Z","2016-05-01T12:00:00.000Z","2016-12-13T11:00:00.000Z",
"Billeh","Maya",,"Enrolled",153799005,"F-Female","2016-08-25T12:00:00.000Z","2016-10-09T11:00:00.000Z",,
"Billot","Oscar",,"Left",153097614,"M-Male","2015-12-02T11:00:00.000Z","2016-02-01T11:00:00.000Z","2016-08-01T12:00:00.000Z",
"Bleakley","Zoe",,"Enrolled",153734799,"F-Female","2016-09-02T12:00:00.000Z","2016-10-10T11:00:00.000Z",,
"Bowker","Patrick",,"Left",153053902,"M-Male","2015-12-06T11:00:00.000Z","2016-02-01T11:00:00.000Z","2016-10-08T11:00:00.000Z",
"Boys","Isobel",,"Enrolled",152784775,"F-Female","2015-06-29T12:00:00.000Z","2015-10-18T11:00:00.000Z",,
"Bull","Harriet",,"Enrolled",153799378,"F-Female","2016-09-10T12:00:00.000Z","2016-10-09T11:00:00.000Z",,
"Clarke","Cooper",,"Enrolled",153734520,"M-Male","2016-07-24T12:00:00.000Z","2016-10-10T11:00:00.000Z",,
"Cronin-Cowlrick","Henley",,"Enrolled",151355698,"M-Male","2015-08-07T12:00:00.000Z","2015-10-18T11:00:00.000Z",,
"Cross","Ayla",,"Enrolled",152749407,"F-Female","2015-06-12T12:00:00.000Z","2015-10-18T11:00:00.000Z",,
"Curd","Hannah",,"Enrolled",154316007,"F-Female","2016-10-14T11:00:00.000Z","2017-02-06T11:00:00.000Z",,
"Damen","Laura",,"Enrolled",153786415,"F-Female","2016-04-23T12:00:00.000Z","2016-10-09T11:00:00.000Z",,
"De Tourettes","Ophelia",,"Enrolled",153795094,"F-Female","2016-07-31T12:00:00.000Z","2017-02-06T11:00:00.000Z",,
"Demo Pieroban","Ambar",,"Enrolled",154899924,"F-Female","2016-09-13T12:00:00.000Z","2017-02-06T11:00:00.000Z",,
"Drake","Leyla",,"Enrolled",152784790,"F-Female","2015-07-25T12:00:00.000Z","2015-10-18T11:00:00.000Z",,
"Drake","Alexia",,"Enrolled",154869400,"F-Female","2016-11-06T11:00:00.000Z","2017-02-06T11:00:00.000Z",,
"Evans","Brianna",,"Left",152226435,"F-Female","2013-04-12T12:00:00.000Z","2016-05-22T12:00:00.000Z","2016-10-09T11:00:00.000Z",
"Evans","Lachlan",,"Left",152226568,"M-Male","2014-08-29T12:00:00.000Z","2016-05-22T12:00:00.000Z","2016-10-09T11:00:00.000Z",
"Farian","Harlen",,"Enrolled",153734679,"M-Male","2016-06-04T12:00:00.000Z","2016-10-10T11:00:00.000Z",,
"Fever","Maxwell",,"Enrolled",154900066,"M-Male","2016-12-11T11:00:00.000Z","2017-02-06T11:00:00.000Z",,
"Ford","Lucas",,"Left",152588606,"M-Male","2015-11-04T11:00:00.000Z","2016-02-01T11:00:00.000Z","2016-02-01T11:00:00.000Z",
"Fraser","Zoe",,"Left",153362029,"F-Female","2015-11-17T11:00:00.000Z","2016-02-01T11:00:00.000Z","2016-10-08T11:00:00.000Z",
"Fraser","Emily",,"Left",153200484,"F-Female","2014-08-08T12:00:00.000Z","2016-05-11T12:00:00.000Z","2017-02-20T11:00:00.000Z",
"Fraser","James",,"Left",153783827,"M-Male","2016-09-27T11:00:00.000Z","2016-10-09T11:00:00.000Z","2017-02-19T11:00:00.000Z",
"Fullarton","Tessa",,"Enrolled",153799536,"F-Female","2016-07-11T12:00:00.000Z","2016-10-09T11:00:00.000Z",,
"Gillanders","Lucy",,"Enrolled",153377778,"F-Female","2016-04-18T12:00:00.000Z","2016-07-24T12:00:00.000Z",,
"Gisby","Finn",,"Left",153384012,"M-Male","2016-01-25T11:00:00.000Z","2016-05-01T12:00:00.000Z","2016-10-31T11:00:00.000Z",
"Gledhill-Powell","Brock",,"Left",153361540,"M-Male","2015-11-16T11:00:00.000Z","2016-02-01T11:00:00.000Z","2016-10-08T11:00:00.000Z",
"Green","Isla",,"Left",153239632,"F-Female","2013-08-21T12:00:00.000Z","2016-03-16T11:00:00.000Z","2016-10-09T11:00:00.000Z",
"Green","Natalie",,"Left",153384040,"F-Female","2015-12-18T11:00:00.000Z","2016-05-01T12:00:00.000Z","2016-12-13T11:00:00.000Z",
